committee_id,committee_name,report_year,report_type,image_number,line_number,transaction_id,file_number,entity_type,entity_type_desc,recipient_committee_id,recipient_name,recipient_state,beneficiary_committee_name,national_committee_nonfederal_account,disbursement_type,disbursement_description,memo_code,memo_code_full,disbursement_date,disbursement_amount,candidate_office,candidate_office_description,candidate_office_district,election_type,election_type_full,fec_election_type_desc,fec_election_year,amendment_indicator,amendment_indicator_desc,schedule_type_full,load_date,original_sub_id,back_reference_transaction_id,back_reference_schedule_id,semi_annual_bundled_refund,filing_form,link_id,recipient_city,recipient_zip,disbursement_purpose_category,memo_text,two_year_transaction_period,schedule_type,sub_id,pdf_url
C00580100,"DONALD J. TRUMP FOR PRESIDENT, INC.",2016,M7,201609129030799065,23,SB23.1166796,1098663,CAN,CANDIDATE,,"TRUMP, DONALD J.",NY,,,,IN-KIND: PAYROLL (SEE MEMOS BELOW),,,2016-06-16 00:00:00,2574.43,P,PRESIDENT,00,P2016,,PRIMARY,2016,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2016-09-14 00:31:17.629,,,,0.00,F3P,4091320161317007177,NEW YORK,10022,OTHER,,2016,SB,4091320161317022944,http://docquery.fec.gov/cgi-bin/fecimg/?201609129030799065
C00580100,"DONALD J. TRUMP FOR PRESIDENT, INC.",2016,M7,201609129030799066,23,SB23.1166796.0,1098663,ORG,ORGANIZATION,,TRUMP TOWER COMMERCIAL LLC,NY,,,,PAYROLL,X,,2016-06-16 00:00:00,2574.43,,,,P2016,,PRIMARY,2016,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2016-09-14 00:31:17.988,,SB23.1166796,SB23,0.00,F3P,4091320161317007177,HICKSVILLE,11802,OTHER,,2016,SB,4091320161317022946,http://docquery.fec.gov/cgi-bin/fecimg/?201609129030799066
C00580100,"DONALD J. TRUMP FOR PRESIDENT, INC.",2016,M7,201609129030799066,23,SB23.1166797,1098663,CAN,CANDIDATE,,"TRUMP, DONALD J.",NY,,,,IN-KIND: PAYROLL (SEE MEMOS BELOW),,,2016-06-23 00:00:00,2574.43,P,PRESIDENT,00,P2016,,PRIMARY,2016,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2016-09-14 00:31:17.988,,,,0.00,F3P,4091320161317007177,NEW YORK,10022,OTHER,,2016,SB,4091320161317022950,http://docquery.fec.gov/cgi-bin/fecimg/?201609129030799066
C00580100,"DONALD J. TRUMP FOR PRESIDENT, INC.",2016,M7,201609129030799067,23,SB23.1166797.0,1098663,ORG,ORGANIZATION,,TRUMP TOWER COMMERCIAL LLC,NY,,,,PAYROLL,X,,2016-06-23 00:00:00,2574.43,,,,P2016,,PRIMARY,2016,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2016-09-14 00:31:17.988,,SB23.1166797,SB23,0.00,F3P,4091320161317007177,HICKSVILLE,11802,OTHER,,2016,SB,4091320161317022952,http://docquery.fec.gov/cgi-bin/fecimg/?201609129030799067
C00580100,"DONALD J. TRUMP FOR PRESIDENT, INC.",2016,M7,201609129030799067,23,SB23.1166792,1098663,CAN,CANDIDATE,,"TRUMP, DONALD J.",NY,,,,IN-KIND: PAYROLL (SEE MEMOS BELOW),,,2016-06-25 00:00:00,9106.13,P,PRESIDENT,00,P2016,,PRIMARY,2016,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2016-09-14 00:31:17.989,,,,0.00,F3P,4091320161317007177,NEW YORK,10022,OTHER,,2016,SB,4091320161317022956,http://docquery.fec.gov/cgi-bin/fecimg/?201609129030799067
C00580100,"DONALD J. TRUMP FOR PRESIDENT, INC.",2016,M7,201609129030799068,23,SB23.1166792.0,1098663,ORG,ORGANIZATION,,TRUMP PAYROLL CORP,NY,,,,PAYROLL,X,,2016-06-25 00:00:00,9106.13,,,,P2016,,PRIMARY,2016,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2016-09-14 00:31:17.989,,SB23.1166792,SB23,0.00,F3P,4091320161317007177,NEW YORK,10022,OTHER,,2016,SB,4091320161317022958,http://docquery.fec.gov/cgi-bin/fecimg/?201609129030799068
C00580100,"DONALD J. TRUMP FOR PRESIDENT, INC.",2016,M7,201609129030799070,23,SB23.1166798,1098663,CAN,CANDIDATE,,"TRUMP, DONALD J.",NY,,,,IN-KIND: PAYROLL (SEE MEMOS BELOW),,,2016-06-30 00:00:00,2574.43,P,PRESIDENT,00,P2016,,PRIMARY,2016,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2016-09-14 00:31:17.991,,,,0.00,F3P,4091320161317007177,NEW YORK,10022,OTHER,,2016,SB,4091320161317022970,http://docquery.fec.gov/cgi-bin/fecimg/?201609129030799070
C00580100,"DONALD J. TRUMP FOR PRESIDENT, INC.",2016,M7,201609129030799070,23,SB23.1166798.0,1098663,ORG,ORGANIZATION,,TRUMP TOWER COMMERCIAL LLC,NY,,,,PAYROLL,X,,2016-06-30 00:00:00,2574.43,,,,P2016,,PRIMARY,2016,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2016-09-14 00:31:17.991,,SB23.1166798,SB23,0.00,F3P,4091320161317007177,HICKSVILLE,11802,OTHER,,2016,SB,4091320161317022972,http://docquery.fec.gov/cgi-bin/fecimg/?201609129030799070
C00580100,"DONALD J. TRUMP FOR PRESIDENT, INC.",2016,M7,201609129030799071,23,SB23.1163369,1098663,ORG,ORGANIZATION,,TRUMP ICE LLC,NY,,,,OFFICE SUPPLIES,,,2016-06-08 00:00:00,428.53,,,,P2016,,PRIMARY,2016,C,CHANGE,ITEMIZED DISBURSEMENTS,2016-09-14 00:31:17.991,,,,0.00,F3P,4091320161317007177,NEW YORK,10022,ADMINISTRATIVE,,2016,SB,4091320161317022976,http://docquery.fec.gov/cgi-bin/fecimg/?201609129030799071
C00580100,"DONALD J. TRUMP FOR PRESIDENT, INC.",2016,M7,201609129030799071,23,SB23.1163212,1098663,ORG,ORGANIZATION,,TRUMP NATIONAL GOLF CLUB,NJ,,,,FACILITY RENTAL/CATERING,,,2016-06-30 00:00:00,21330.00,,,,P2016,,PRIMARY,2016,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2016-09-14 00:31:17.991,,,,0.00,F3P,4091320161317007177,BEDMINSTER,07921,ADMINISTRATIVE,,2016,SB,4091320161317022978,http://docquery.fec.gov/cgi-bin/fecimg/?201609129030799071
C00580100,"DONALD J. TRUMP FOR PRESIDENT, INC.",2016,M7,201609129030799071,23,SB23.1163531,1098663,ORG,ORGANIZATION,,TRUMP RESTAURANTS LLC,NY,,,,RENT AND UTILITIES,,,2016-06-09 00:00:00,1000.00,,,,P2016,,PRIMARY,2016,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2016-09-14 00:31:17.991,,,,0.00,F3P,4091320161317007177,NEW YORK,10022,ADMINISTRATIVE,,2016,SB,4091320161317022980,http://docquery.fec.gov/cgi-bin/fecimg/?201609129030799071
C00580100,"DONALD J. TRUMP FOR PRESIDENT, INC.",2016,M7,201609129030799072,23,SB23.1163532,1098663,ORG,ORGANIZATION,,TRUMP TOWER COMMERCIAL LLC,NY,,,,RENT AND UTILITIES,,,2016-06-09 00:00:00,110684.17,,,,P2016,,PRIMARY,2016,N,NO CHANGE,ITEMIZED DISBURSEMENTS,2016-09-14 00:31:17.991,,,,0.00,F3P,4091320161317007177,HICKSVILLE,11802,ADMINISTRATIVE,,2016,SB,4091320161317022982,http://docquery.fec.gov/cgi-bin/fecimg/?201609129030799072
C00580100,"DONALD J. TRUMP FOR PRESIDENT, INC.",2016,M5,201605209016007797,23,SB23.515594,1074038,CAN,CANDIDATE,,"TRUMP, DONALD J.",NY,,,,IN-KIND: RENT (SEE MEMOS BELOW),,,2016-04-01 00:00:00,15000.00,P,PRESIDENT,00,P2016,,PRIMARY,2016,A,ADD,ITEMIZED DISBURSEMENTS,2016-05-25 00:31:58.172,0,,,0.00,F3P,4052120161293041615,NEW YORK,10022,ADMINISTRATIVE,,2016,SB,4052420161293133101,http://docquery.fec.gov/cgi-bin/fecimg/?201605209016007797
C00580100,"DONALD J. TRUMP FOR PRESIDENT, INC.",2016,M5,201605209016007798,23,SB23.515594.0,1074038,ORG,ORGANIZATION,,TRUMP CPS LLC,NY,,,,RENT,X,,2016-04-01 00:00:00,6000.00,,,,P2016,,PRIMARY,2016,A,ADD,ITEMIZED DISBURSEMENTS,2016-05-25 00:31:58.172,0,SB23.515594,SB23,0.00,F3P,4052120161293041615,NEW YORK,10022,ADMINISTRATIVE,,2016,SB,4052420161293133103,http://docquery.fec.gov/cgi-bin/fecimg/?201605209016007798
C00580100,"DONALD J. TRUMP FOR PRESIDENT, INC.",2016,M5,201605209016007798,23,SB23.515594.1,1074038,ORG,ORGANIZATION,,TRUMP PLAZA LLC,NY,,,,RENT,X,,2016-04-01 00:00:00,9000.00,,,,P2016,,PRIMARY,2016,A,ADD,ITEMIZED DISBURSEMENTS,2016-05-25 00:31:58.172,0,SB23.515594,SB23,0.00,F3P,4052120161293041615,NEW YORK,10022,ADMINISTRATIVE,,2016,SB,4052420161293133105,http://docquery.fec.gov/cgi-bin/fecimg/?201605209016007798
C00580100,"DONALD J. TRUMP FOR PRESIDENT, INC.",2016,M5,201605209016007798,23,SB23.515598,1074038,CAN,CANDIDATE,,"TRUMP, DONALD J.",NY,,,,IN-KIND: PAYROLL (SEE MEMOS BELOW),,,2016-04-06 00:00:00,3706.98,P,PRESIDENT,00,P2016,,PRIMARY,2016,A,ADD,ITEMIZED DISBURSEMENTS,2016-05-25 00:31:58.172,0,,,0.00,F3P,4052120161293041615,NEW YORK,10022,OTHER,,2016,SB,4052420161293133107,http://docquery.fec.gov/cgi-bin/fecimg/?201605209016007798
C00580100,"DONALD J. TRUMP FOR PRESIDENT, INC.",2016,M5,201605209016007799,23,SB23.515598.0,1074038,ORG,ORGANIZATION,,TRUMP PAYROLL CORP,NY,,,,PAYROLL,X,,2016-04-06 00:00:00,3706.98,,,,P2016,,PRIMARY,2016,A,ADD,ITEMIZED DISBURSEMENTS,2016-05-25 00:31:58.173,0,SB23.515598,SB23,0.00,F3P,4052120161293041615,NEW YORK,10022,OTHER,,2016,SB,4052420161293133109,http://docquery.fec.gov/cgi-bin/fecimg/?201605209016007799
C00580100,"DONALD J. TRUMP FOR PRESIDENT, INC.",2016,M5,201605209016007800,23,SB23.515614,1074038,CAN,CANDIDATE,,"TRUMP, DONALD J.",NY,,,,IN-KIND: PAYROLL (SEE MEMOS BELOW),,,2016-04-07 00:00:00,2574.43,P,PRESIDENT,00,P2016,,PRIMARY,2016,A,ADD,ITEMIZED DISBURSEMENTS,2016-05-25 00:31:58.173,0,,,0.00,F3P,4052120161293041615,NEW YORK,10022,OTHER,,2016,SB,4052420161293133117,http://docquery.fec.gov/cgi-bin/fecimg/?201605209016007800
C00580100,"DONALD J. TRUMP FOR PRESIDENT, INC.",2016,M5,201605209016007800,23,SB23.515614.0,1074038,ORG,ORGANIZATION,,TRUMP TOWER COMMERCIAL LLC,NY,,,,PAYROLL,X,,2016-04-07 00:00:00,2574.43,,,,P2016,,PRIMARY,2016,A,ADD,ITEMIZED DISBURSEMENTS,2016-05-25 00:31:58.173,0,SB23.515614,SB23,0.00,F3P,4052120161293041615,HICKSVILLE,11802,OTHER,,2016,SB,4052420161293133119,http://docquery.fec.gov/cgi-bin/fecimg/?201605209016007800
C00580100,"DONALD J. TRUMP FOR PRESIDENT, INC.",2016,M5,201605209016007801,23,SB23.515615,1074038,CAN,CANDIDATE,,"TRUMP, DONALD J.",NY,,,,IN-KIND: PAYROLL (SEE MEMOS BELOW),,,2016-04-14 00:00:00,2574.43,P,PRESIDENT,00,P2016,,PRIMARY,2016,A,ADD,ITEMIZED DISBURSEMENTS,2016-05-25 00:31:58.173,0,,,0.00,F3P,4052120161293041615,NEW YORK,10022,OTHER,,2016,SB,4052420161293133123,http://docquery.fec.gov/cgi-bin/fecimg/?201605209016007801
C00580100,"DONALD J. TRUMP FOR PRESIDENT, INC.",2016,M5,201605209016007801,23,SB23.515615.0,1074038,ORG,ORGANIZATION,,TRUMP TOWER COMMERCIAL LLC,NY,,,,PAYROLL,X,,2016-04-14 00:00:00,2574.43,,,,P2016,,PRIMARY,2016,A,ADD,ITEMIZED DISBURSEMENTS,2016-05-25 00:31:58.173,0,SB23.515615,SB23,0.00,F3P,4052120161293041615,HICKSVILLE,11802,OTHER,,2016,SB,4052420161293133125,http://docquery.fec.gov/cgi-bin/fecimg/?201605209016007801
C00580100,"DONALD J. TRUMP FOR PRESIDENT, INC.",2016,M5,201605209016007802,23,SB23.515605,1074038,CAN,CANDIDATE,,"TRUMP, DONALD J.",NY,,,,IN-KIND: PAYROLL (SEE MEMOS BELOW),,,2016-04-16 00:00:00,3706.98,P,PRESIDENT,00,P2016,,PRIMARY,2016,A,ADD,ITEMIZED DISBURSEMENTS,2016-05-25 00:31:58.175,0,,,0.00,F3P,4052120161293041615,NEW YORK,10022,OTHER,,2016,SB,4052420161293133129,http://docquery.fec.gov/cgi-bin/fecimg/?201605209016007802
C00580100,"DONALD J. TRUMP FOR PRESIDENT, INC.",2016,M5,201605209016007802,23,SB23.515605.0,1074038,ORG,ORGANIZATION,,TRUMP PAYROLL CORP,NY,,,,PAYROLL,X,,2016-04-16 00:00:00,3706.98,,,,P2016,,PRIMARY,2016,A,ADD,ITEMIZED DISBURSEMENTS,2016-05-25 00:31:58.175,0,SB23.515605,SB23,0.00,F3P,4052120161293041615,NEW YORK,10022,OTHER,,2016,SB,4052420161293133131,http://docquery.fec.gov/cgi-bin/fecimg/?201605209016007802
C00580100,"DONALD J. TRUMP FOR PRESIDENT, INC.",2016,M5,201605209016007804,23,SB23.514272,1074038,IND,INDIVIDUAL,,"TRUMP, DONALD JR.",NY,,,,TRAVEL EXPENSE REIMBURSEMENT: ITEMIZATION BELOW IF REQUIRED,,,2016-04-18 00:00:00,1451.10,,,,P2016,,PRIMARY,2016,A,ADD,ITEMIZED DISBURSEMENTS,2016-05-25 00:31:58.175,0,,,0.00,F3P,4052120161293041615,NEW YORK,10022,MATERIALS,,2016,SB,4052420161293133138,http://docquery.fec.gov/cgi-bin/fecimg/?201605209016007804
C00580100,"DONALD J. TRUMP FOR PRESIDENT, INC.",2016,M5,201605209016007804,23,SB23.515616,1074038,CAN,CANDIDATE,,"TRUMP, DONALD J.",NY,,,,IN-KIND: PAYROLL (SEE MEMOS BELOW),,,2016-04-21 00:00:00,2574.43,P,PRESIDENT,00,P2016,,PRIMARY,2016,A,ADD,ITEMIZED DISBURSEMENTS,2016-05-25 00:31:58.175,0,,,0.00,F3P,4052120161293041615,NEW YORK,10022,OTHER,,2016,SB,4052420161293133140,http://docquery.fec.gov/cgi-bin/fecimg/?201605209016007804
C00580100,"DONALD J. TRUMP FOR PRESIDENT, INC.",2016,M5,201605209016007804,23,SB23.515616.0,1074038,ORG,ORGANIZATION,,TRUMP TOWER COMMERCIAL LLC,NY,,,,PAYROLL,X,,2016-04-21 00:00:00,2574.43,,,,P2016,,PRIMARY,2016,A,ADD,ITEMIZED DISBURSEMENTS,2016-05-25 00:31:58.175,0,SB23.515616,SB23,0.00,F3P,4052120161293041615,HICKSVILLE,11802,OTHER,,2016,SB,4052420161293133142,http://docquery.fec.gov/cgi-bin/fecimg/?201605209016007804
C00580100,"DONALD J. TRUMP FOR PRESIDENT, INC.",2016,M5,201605209016007805,23,SB23.514273,1074038,IND,INDIVIDUAL,,"TRUMP, DONALD JR.",NY,,,,TRAVEL EXPENSE REIMBURSEMENT: ITEMIZATION BELOW IF REQUIRED,,,2016-04-22 00:00:00,304.10,,,,P2016,,PRIMARY,2016,A,ADD,ITEMIZED DISBURSEMENTS,2016-05-25 00:31:58.175,0,,,0.00,F3P,4052120161293041615,NEW YORK,10022,MATERIALS,,2016,SB,4052420161293133146,http://docquery.fec.gov/cgi-bin/fecimg/?201605209016007805
C00580100,"DONALD J. TRUMP FOR PRESIDENT, INC.",2016,M5,201605209016007805,23,SB23.514274,1074038,IND,INDIVIDUAL,,"TRUMP, DONALD JR.",NY,,,,TRAVEL EXPENSE REIMBURSEMENT: ITEMIZATION BELOW IF REQUIRED,,,2016-04-22 00:00:00,3487.55,,,,P2016,,PRIMARY,2016,A,ADD,ITEMIZED DISBURSEMENTS,2016-05-25 00:31:58.176,0,,,0.00,F3P,4052120161293041615,NEW YORK,10022,MATERIALS,,2016,SB,4052420161293133148,http://docquery.fec.gov/cgi-bin/fecimg/?201605209016007805
C00580100,"DONALD J. TRUMP FOR PRESIDENT, INC.",2016,M5,201605209016007806,23,SB23.514275,1074038,IND,INDIVIDUAL,,"TRUMP, DONALD JR.",NY,,,,TRAVEL EXPENSE REIMBURSEMENT: ITEMIZATION BELOW IF REQUIRED,,,2016-04-22 00:00:00,4210.71,,,,P2016,,PRIMARY,2016,A,ADD,ITEMIZED DISBURSEMENTS,2016-05-25 00:31:58.176,0,,,0.00,F3P,4052120161293041615,NEW YORK,10022,MATERIALS,,2016,SB,4052420161293133150,http://docquery.fec.gov/cgi-bin/fecimg/?201605209016007806
C00580100,"DONALD J. TRUMP FOR PRESIDENT, INC.",2016,M5,201605209016007806,23,SB23.515617,1074038,CAN,CANDIDATE,,"TRUMP, DONALD J.",NY,,,,IN-KIND: PAYROLL (SEE MEMOS BELOW),,,2016-04-28 00:00:00,2574.43,P,PRESIDENT,00,P2016,,PRIMARY,2016,A,ADD,ITEMIZED DISBURSEMENTS,2016-05-25 00:31:58.176,0,,,0.00,F3P,4052120161293041615,NEW YORK,10022,OTHER,,2016,SB,4052420161293133152,http://docquery.fec.gov/cgi-bin/fecimg/?201605209016007806
C00580100,"DONALD J. TRUMP FOR PRESIDENT, INC.",2016,M5,201605209016007806,23,SB23.515617.0,1074038,ORG,ORGANIZATION,,TRUMP TOWER COMMERCIAL LLC,NY,,,,PAYROLL,X,,2016-04-28 00:00:00,2574.43,,,,P2016,,PRIMARY,2016,A,ADD,ITEMIZED DISBURSEMENTS,2016-05-25 00:31:58.176,0,SB23.515617,SB23,0.00,F3P,4052120161293041615,HICKSVILLE,11802,OTHER,,2016,SB,4052420161293133154,http://docquery.fec.gov/cgi-bin/fecimg/?201605209016007806
C00580100,"DONALD J. TRUMP FOR PRESIDENT, INC.",2016,M5,201605209016007807,23,SB23.514285,1074038,ORG,ORGANIZATION,,TRUMP INTERNATIONAL HOTEL AND TOWER CHICAGO,IL,,,,TRAVEL: LODGING,,,2016-04-25 00:00:00,8366.14,,,,P2016,,PRIMARY,2016,A,ADD,ITEMIZED DISBURSEMENTS,2016-05-25 00:31:58.177,0,,,0.00,F3P,4052120161293041615,CHICAGO,60611,TRAVEL,,2016,SB,4052420161293133158,http://docquery.fec.gov/cgi-bin/fecimg/?201605209016007807
C00580100,"DONALD J. TRUMP FOR PRESIDENT, INC.",2016,M5,201605209016007807,23,SB23.514205,1074038,ORG,ORGANIZATION,,TRUMP RESTAURANTS LLC,NY,,,,RENT AND UTILITIES,,,2016-04-30 00:00:00,1000.00,,,,P2016,,PRIMARY,2016,A,ADD,ITEMIZED DISBURSEMENTS,2016-05-25 00:31:58.177,0,,,0.00,F3P,4052120161293041615,NEW YORK,10022,ADMINISTRATIVE,,2016,SB,4052420161293133160,http://docquery.fec.gov/cgi-bin/fecimg/?201605209016007807
C00580100,"DONALD J. TRUMP FOR PRESIDENT, INC.",2016,M5,201605209016007808,23,SB23.514206,1074038,ORG,ORGANIZATION,,TRUMP TOWER COMMERCIAL LLC,NY,,,,RENT AND UTILITIES,,,2016-04-30 00:00:00,35457.50,,,,P2016,,PRIMARY,2016,A,ADD,ITEMIZED DISBURSEMENTS,2016-05-25 00:31:58.177,0,,,0.00,F3P,4052120161293041615,HICKSVILLE,11802,ADMINISTRATIVE,,2016,SB,4052420161293133162,http://docquery.fec.gov/cgi-bin/fecimg/?201605209016007808
C00580100,"DONALD J. TRUMP FOR PRESIDENT, INC.",2016,M6,201606209018596820,23,SB23.599812,1079423,ORG,ORGANIZATION,,"ERIC TRUMP WINE MANUFACTURING, LLC",VA,,,,FACILITY RENTAL/CATERING,,,2016-05-04 00:00:00,1287.92,,,,P2016,,PRIMARY,2016,A,ADD,ITEMIZED DISBURSEMENTS,2016-06-23 00:32:13.275,,,,0.00,F3P,4062120161299896290,CHARLOTTESVILLE,22902,ADMINISTRATIVE,,2016,SB,4062220161300015029,http://docquery.fec.gov/cgi-bin/fecimg/?201606209018596820
C00580100,"DONALD J. TRUMP FOR PRESIDENT, INC.",2016,M6,201606209018596820,23,SB23.599813,1079423,ORG,ORGANIZATION,,"ERIC TRUMP WINE MANUFACTURING, LLC",VA,,,,FACILITY RENTAL/CATERING,,,2016-05-16 00:00:00,2650.66,,,,P2016,,PRIMARY,2016,A,ADD,ITEMIZED DISBURSEMENTS,2016-06-23 00:32:13.275,,,,0.00,F3P,4062120161299896290,CHARLOTTESVILLE,22902,ADMINISTRATIVE,,2016,SB,4062220161300015031,http://docquery.fec.gov/cgi-bin/fecimg/?201606209018596820
